% Code: cgiSensitivity.c v2.1 (sll - 20 Sept 2002 Build)
% from WWW Sensitivity Curve Generator located at:
%   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
% EQUAL ARM Space Based Observatory Sensitivity Curve
% Polarization and All Sky Averaged
% 
% For this data file:
% SNR = 1.000000 
% Armlength = 5.000000e+09 	meters
% Optics diameter = 0.300000 	meters
% Wavelength = 1064.000000 	nanometers
% Laser power = 1.000000 Watts
% Optical train efficiency = 0.300000 
% Accleration noise = 3.000000e-15 m/(s^2 root Hz)
% Position noise = 2.000000e-11 m/(root Hz)
% Sensitivity Floor Set by Laser Shot Noise
% Output Curve type is Laser Shot Noise
%
%
%
%f [Hz] 	hf [Hz^(-1/2)]
9.765035e-08	8.230539e-12
9.992561e-08	7.859994e-12
1.022538e-07	7.506140e-12
1.046364e-07	7.168208e-12
1.070744e-07	6.845487e-12
1.095693e-07	6.537299e-12
1.121222e-07	6.242988e-12
1.147346e-07	5.961930e-12
1.174080e-07	5.693514e-12
1.201436e-07	5.437190e-12
1.229430e-07	5.192405e-12
1.258075e-07	4.958644e-12
1.287388e-07	4.735402e-12
1.317385e-07	4.522210e-12
1.348080e-07	4.318618e-12
1.379489e-07	4.124195e-12
1.411632e-07	3.938518e-12
1.444523e-07	3.761205e-12
1.478180e-07	3.591876e-12
1.512621e-07	3.430168e-12
1.547865e-07	3.275741e-12
1.583931e-07	3.128264e-12
1.620836e-07	2.987428e-12
1.658602e-07	2.852934e-12
1.697248e-07	2.724491e-12
1.736793e-07	2.601834e-12
1.777260e-07	2.484699e-12
1.818671e-07	2.372836e-12
1.861046e-07	2.266009e-12
1.904408e-07	2.163993e-12
1.948781e-07	2.066569e-12
1.994188e-07	1.973531e-12
2.040652e-07	1.884682e-12
2.088199e-07	1.799832e-12
2.136855e-07	1.718802e-12
2.186644e-07	1.641421e-12
2.237592e-07	1.567524e-12
2.289728e-07	1.496953e-12
2.343079e-07	1.429559e-12
2.397673e-07	1.365200e-12
2.453538e-07	1.303738e-12
2.510706e-07	1.245043e-12
2.569205e-07	1.188990e-12
2.629067e-07	1.135461e-12
2.690325e-07	1.084342e-12
2.753009e-07	1.035525e-12
2.817154e-07	9.889054e-13
2.882794e-07	9.443839e-13
2.949963e-07	9.018673e-13
3.018697e-07	8.612648e-13
3.089033e-07	8.224904e-13
3.161008e-07	7.854613e-13
3.234659e-07	7.500995e-13
3.310026e-07	7.163298e-13
3.387150e-07	6.840801e-13
3.466070e-07	6.532827e-13
3.546830e-07	6.238715e-13
3.629471e-07	5.957846e-13
3.714038e-07	5.689619e-13
3.800575e-07	5.433470e-13
3.889128e-07	5.188853e-13
3.979745e-07	4.955249e-13
4.072473e-07	4.732161e-13
4.167362e-07	4.519116e-13
4.264461e-07	4.315663e-13
4.363823e-07	4.121371e-13
4.465500e-07	3.935824e-13
4.569546e-07	3.758632e-13
4.676017e-07	3.589416e-13
4.784967e-07	3.427819e-13
4.896457e-07	3.273497e-13
5.010545e-07	3.126122e-13
5.127290e-07	2.985383e-13
5.246756e-07	2.850980e-13
5.369006e-07	2.722627e-13
5.494104e-07	2.600053e-13
5.622116e-07	2.482997e-13
5.753111e-07	2.371212e-13
5.887160e-07	2.264458e-13
6.024330e-07	2.162511e-13
6.164697e-07	2.065154e-13
6.308335e-07	1.972179e-13
6.455319e-07	1.883391e-13
6.605728e-07	1.798600e-13
6.759641e-07	1.717626e-13
6.917140e-07	1.640298e-13
7.078310e-07	1.566451e-13
7.243235e-07	1.495928e-13
7.412002e-07	1.428581e-13
7.584702e-07	1.364265e-13
7.761425e-07	1.302846e-13
7.942267e-07	1.244191e-13
8.127321e-07	1.188177e-13
8.316687e-07	1.134684e-13
8.510467e-07	1.083600e-13
8.708760e-07	1.034816e-13
8.911674e-07	9.882283e-14
9.119316e-07	9.437377e-14
9.331797e-07	9.012501e-14
9.549227e-07	8.606755e-14
9.771724e-07	8.219274e-14
9.999403e-07	7.849242e-14
1.023239e-06	7.495867e-14
1.047080e-06	7.158399e-14
1.071478e-06	6.836114e-14
1.096443e-06	6.528358e-14
1.121990e-06	6.234442e-14
1.148133e-06	5.953766e-14
1.174884e-06	5.685729e-14
1.202259e-06	5.429752e-14
1.230271e-06	5.185302e-14
1.258937e-06	4.951858e-14
1.288270e-06	4.728922e-14
1.318286e-06	4.516025e-14
1.349002e-06	4.312712e-14
1.380434e-06	4.118551e-14
1.412599e-06	3.933130e-14
1.445512e-06	3.756057e-14
1.479192e-06	3.586960e-14
1.513658e-06	3.425473e-14
1.548927e-06	3.271254e-14
1.585016e-06	3.123982e-14
1.621947e-06	2.983338e-14
1.659738e-06	2.849028e-14
1.698410e-06	2.720764e-14
1.737983e-06	2.598272e-14
1.778478e-06	2.481298e-14
1.819917e-06	2.369587e-14
1.862321e-06	2.262908e-14
1.905712e-06	2.161032e-14
1.950116e-06	2.063741e-14
1.995554e-06	1.970829e-14
2.042050e-06	1.882102e-14
2.089630e-06	1.797369e-14
2.138318e-06	1.716450e-14
2.188141e-06	1.639175e-14
2.239125e-06	1.565379e-14
2.291296e-06	1.494904e-14
2.344684e-06	1.427602e-14
2.399315e-06	1.363331e-14
2.455219e-06	1.301954e-14
2.512425e-06	1.243339e-14
2.570965e-06	1.187363e-14
2.630868e-06	1.133908e-14
2.692168e-06	1.082858e-14
2.754895e-06	1.034108e-14
2.819084e-06	9.875514e-15
2.884769e-06	9.430916e-15
2.951984e-06	9.006333e-15
3.020765e-06	8.600860e-15
3.091149e-06	8.213644e-15
3.163173e-06	7.843864e-15
3.236875e-06	7.490728e-15
3.312294e-06	7.153494e-15
3.389470e-06	6.831440e-15
3.468444e-06	6.523886e-15
3.549260e-06	6.230176e-15
3.631957e-06	5.949690e-15
3.716582e-06	5.681832e-15
3.803178e-06	5.426034e-15
3.891793e-06	5.181751e-15
3.982471e-06	4.948466e-15
4.075263e-06	4.725683e-15
4.170217e-06	4.512930e-15
4.267382e-06	4.309757e-15
4.366812e-06	4.115729e-15
4.468559e-06	3.930436e-15
4.572677e-06	3.753486e-15
4.679220e-06	3.584503e-15
4.788246e-06	3.423126e-15
4.899812e-06	3.269016e-15
5.013978e-06	3.121843e-15
5.130803e-06	2.981296e-15
5.250351e-06	2.847077e-15
5.372684e-06	2.718900e-15
5.497867e-06	2.596494e-15
5.625968e-06	2.479599e-15
5.757053e-06	2.367966e-15
5.891192e-06	2.261359e-15
6.028457e-06	2.159551e-15
6.168920e-06	2.062327e-15
6.312656e-06	1.969480e-15
6.459741e-06	1.880813e-15
6.610253e-06	1.796138e-15
6.764272e-06	1.715275e-15
6.921879e-06	1.638052e-15
7.083159e-06	1.564306e-15
7.248196e-06	1.493881e-15
7.417080e-06	1.426625e-15
7.589898e-06	1.362398e-15
7.766742e-06	1.301062e-15
7.947707e-06	1.242488e-15
8.132889e-06	1.186550e-15
8.322385e-06	1.133131e-15
8.516297e-06	1.082117e-15
8.714726e-06	1.033400e-15
8.917780e-06	9.868754e-16
9.125564e-06	9.424457e-16
9.338190e-06	9.000164e-16
9.555773e-06	8.596516e-16
9.778423e-06	8.203796e-16
1.000626e-05	7.842100e-16
1.023940e-05	7.487290e-16
1.047798e-05	7.150519e-16
1.072212e-05	6.826616e-16
1.097194e-05	6.519610e-16
1.122759e-05	6.228491e-16
1.148919e-05	5.944378e-16
1.175689e-05	5.677198e-16
1.203082e-05	5.424234e-16
1.231114e-05	5.178527e-16
1.259799e-05	4.945224e-16
1.289153e-05	4.722685e-16
1.319190e-05	4.509176e-16
1.349927e-05	4.307189e-16
1.381380e-05	4.112541e-16
1.413566e-05	3.927505e-16
1.446503e-05	3.750364e-16
1.480206e-05	3.582161e-16
1.514695e-05	3.420310e-16
1.549987e-05	3.266847e-16
1.586102e-05	3.119744e-16
1.623058e-05	2.978757e-16
1.660876e-05	2.845108e-16
1.699574e-05	2.716874e-16
1.739173e-05	2.594650e-16
1.779696e-05	2.477796e-16
1.821163e-05	2.366199e-16
1.863597e-05	2.259827e-16
1.907018e-05	2.158126e-16
1.951452e-05	2.060941e-16
1.996921e-05	1.968119e-16
2.043449e-05	1.879505e-16
2.091061e-05	1.794902e-16
2.139783e-05	1.714096e-16
2.189640e-05	1.636955e-16
2.240659e-05	1.563260e-16
2.292866e-05	1.492898e-16
2.346290e-05	1.425682e-16
2.400958e-05	1.361489e-16
2.456900e-05	1.300159e-16
2.514147e-05	1.241636e-16
2.572726e-05	1.185755e-16
2.632671e-05	1.132354e-16
2.694012e-05	1.081372e-16
2.756782e-05	1.032693e-16
2.821015e-05	9.861999e-17
2.886745e-05	9.417898e-17
2.954006e-05	8.994035e-17
3.022834e-05	8.589040e-17
3.093267e-05	8.202404e-17
3.165340e-05	7.833080e-17
3.239092e-05	7.480423e-17
3.314563e-05	7.143698e-17
3.391792e-05	6.822040e-17
3.470821e-05	6.514956e-17
3.551691e-05	6.221652e-17
3.634445e-05	5.941521e-17
3.719128e-05	5.674042e-17
3.805783e-05	5.418604e-17
3.894459e-05	5.174658e-17
3.985199e-05	4.941688e-17
4.078054e-05	4.719209e-17
4.173073e-05	4.506742e-17
4.270306e-05	4.303854e-17
4.369804e-05	4.110085e-17
4.471621e-05	3.925047e-17
4.575809e-05	3.748345e-17
4.682425e-05	3.579589e-17
4.791526e-05	3.418436e-17
4.903169e-05	3.264534e-17
5.017412e-05	3.117569e-17
5.134318e-05	2.977207e-17
5.253948e-05	2.843175e-17
5.376365e-05	2.715171e-17
5.501634e-05	2.592932e-17
5.629822e-05	2.476199e-17
5.760997e-05	2.364719e-17
5.895228e-05	2.258256e-17
6.032587e-05	2.156588e-17
6.173146e-05	2.059497e-17
6.316980e-05	1.966777e-17
6.464166e-05	1.878232e-17
6.614781e-05	1.793673e-17
6.768906e-05	1.712920e-17
6.926621e-05	1.635804e-17
7.088012e-05	1.562158e-17
7.253162e-05	1.491829e-17
7.422160e-05	1.424666e-17
7.595097e-05	1.360526e-17
7.772063e-05	1.299274e-17
7.953152e-05	1.240780e-17
8.138461e-05	1.184919e-17
8.328086e-05	1.131574e-17
8.522131e-05	1.080629e-17
8.720696e-05	1.031979e-17
8.923889e-05	9.855178e-18
9.131815e-05	9.411491e-18
9.344587e-05	8.987777e-18
9.562320e-05	8.583134e-18
9.785113e-05	8.196728e-18
1.001311e-04	7.827703e-18
1.024642e-04	7.475287e-18
1.048516e-04	7.138747e-18
1.072946e-04	6.817356e-18
1.097946e-04	6.510428e-18
1.123528e-04	6.217324e-18
1.149706e-04	5.937411e-18
1.176494e-04	5.670102e-18
1.203907e-04	5.414828e-18
1.231958e-04	5.171049e-18
1.260662e-04	4.938245e-18
1.290035e-04	4.715920e-18
1.320094e-04	4.503599e-18
1.350852e-04	4.300843e-18
1.382326e-04	4.107215e-18
1.414535e-04	3.922302e-18
1.447493e-04	3.745716e-18
1.481220e-04	3.577079e-18
1.515732e-04	3.416035e-18
1.551049e-04	3.262241e-18
1.587189e-04	3.115368e-18
1.624170e-04	2.975112e-18
1.662013e-04	2.841167e-18
1.700738e-04	2.713253e-18
1.740365e-04	2.591099e-18
1.780916e-04	2.474443e-18
1.822411e-04	2.363040e-18
1.864874e-04	2.256652e-18
1.908325e-04	2.155054e-18
1.952788e-04	2.058031e-18
1.998289e-04	1.965374e-18
2.044849e-04	1.876890e-18
2.092493e-04	1.792389e-18
2.141249e-04	1.711692e-18
2.191140e-04	1.634628e-18
2.242193e-04	1.561034e-18
2.294437e-04	1.490753e-18
2.347897e-04	1.423636e-18
2.402603e-04	1.359541e-18
2.458584e-04	1.298332e-18
2.515869e-04	1.239877e-18
2.574488e-04	1.184056e-18
2.634474e-04	1.130746e-18
2.695858e-04	1.079838e-18
2.758671e-04	1.031221e-18
2.822948e-04	9.847926e-19
2.888722e-04	9.404553e-19
2.956030e-04	8.981136e-19
3.024905e-04	8.576783e-19
3.095385e-04	8.190635e-19
3.167508e-04	7.821870e-19
3.241311e-04	7.469709e-19
3.316833e-04	7.133407e-19
3.394115e-04	6.812242e-19
3.473199e-04	6.505537e-19
3.554124e-04	6.212640e-19
3.636935e-04	5.932934e-19
3.721676e-04	5.665819e-19
3.808391e-04	5.410730e-19
3.897126e-04	5.167129e-19
3.987929e-04	4.934494e-19
4.080848e-04	4.712333e-19
4.175932e-04	4.500177e-19
4.273231e-04	4.297572e-19
4.372798e-04	4.104090e-19
4.474684e-04	3.919320e-19
4.578944e-04	3.742871e-19
4.685633e-04	3.574367e-19
4.794809e-04	3.413449e-19
4.906528e-04	3.259778e-19
5.020849e-04	3.113028e-19
5.137835e-04	2.972886e-19
5.257547e-04	2.839055e-19
5.380048e-04	2.711252e-19
5.505403e-04	2.589203e-19
5.633679e-04	2.472652e-19
5.764943e-04	2.361351e-19
5.899266e-04	2.255063e-19
6.036719e-04	2.153562e-19
6.177375e-04	2.056634e-19
6.321308e-04	1.964071e-19
6.468595e-04	1.875680e-19
6.619313e-04	1.791270e-19
6.773543e-04	1.710664e-19
6.931367e-04	1.633690e-19
7.092867e-04	1.560185e-19
7.258131e-04	1.489993e-19
7.427246e-04	1.422964e-19
7.600301e-04	1.358957e-19
7.777387e-04	1.297837e-19
7.958600e-04	1.239472e-19
8.144035e-04	1.183739e-19
8.333792e-04	1.130520e-19
8.527969e-04	1.079702e-19
8.726671e-04	1.031177e-19
8.930002e-04	9.848421e-20
9.138071e-04	9.405990e-20
9.350988e-04	8.983538e-20
9.568866e-04	8.580167e-20
9.791821e-04	8.195021e-20
1.001997e-03	7.827289e-20
1.025344e-03	7.476171e-20
1.049234e-03	7.140951e-20
1.073681e-03	6.820893e-20
1.098698e-03	6.515338e-20
1.124298e-03	6.223612e-20
1.150493e-03	5.945122e-20
1.177300e-03	5.679261e-20
1.204731e-03	5.425464e-20
1.232802e-03	5.183197e-20
1.261526e-03	4.951955e-20
1.290920e-03	4.731227e-20
1.320997e-03	4.520567e-20
1.351777e-03	4.319506e-20
1.383273e-03	4.127636e-20
1.415504e-03	3.944536e-20
1.448485e-03	3.769823e-20
1.482235e-03	3.603126e-20
1.516771e-03	3.444090e-20
1.552112e-03	3.292376e-20
1.588276e-03	3.147666e-20
1.625282e-03	3.009649e-20
1.663152e-03	2.878032e-20
1.701904e-03	2.752534e-20
1.741557e-03	2.632893e-20
1.782136e-03	2.518849e-20
1.823660e-03	2.410160e-20
1.866150e-03	2.306598e-20
1.909632e-03	2.207938e-20
1.954126e-03	2.113970e-20
1.999657e-03	2.024494e-20
2.046250e-03	1.939319e-20
2.093928e-03	1.858260e-20
2.142716e-03	1.781146e-20
2.192641e-03	1.707807e-20
2.243730e-03	1.638087e-20
2.296009e-03	1.571834e-20
2.349506e-03	1.508902e-20
2.404249e-03	1.449155e-20
