# Code: cgiSensitivity.c v2.1 (sll - 20 Sept 2002 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+07 	meters
# Optics diameter = 3.000000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 100.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-16 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Laser Shot Noise
# Output Curve type is Laser Shot Noise
#
#
#
#f [Hz] 	hf [Hz^(-1/2)]
9.765035e-06	8.230539e-15
9.992561e-06	7.859994e-15
1.022538e-05	7.506140e-15
1.046364e-05	7.168208e-15
1.070744e-05	6.845487e-15
1.095693e-05	6.537299e-15
1.121222e-05	6.242988e-15
1.147346e-05	5.961930e-15
1.174080e-05	5.693514e-15
1.201436e-05	5.437190e-15
1.229430e-05	5.192405e-15
1.258075e-05	4.958644e-15
1.287388e-05	4.735402e-15
1.317385e-05	4.522210e-15
1.348080e-05	4.318618e-15
1.379489e-05	4.124195e-15
1.411632e-05	3.938518e-15
1.444523e-05	3.761205e-15
1.478180e-05	3.591876e-15
1.512621e-05	3.430168e-15
1.547865e-05	3.275741e-15
1.583931e-05	3.128264e-15
1.620836e-05	2.987428e-15
1.658602e-05	2.852934e-15
1.697248e-05	2.724491e-15
1.736793e-05	2.601834e-15
1.777260e-05	2.484699e-15
1.818671e-05	2.372836e-15
1.861046e-05	2.266009e-15
1.904408e-05	2.163993e-15
1.948781e-05	2.066569e-15
1.994188e-05	1.973531e-15
2.040652e-05	1.884682e-15
2.088199e-05	1.799832e-15
2.136855e-05	1.718802e-15
2.186644e-05	1.641421e-15
2.237592e-05	1.567524e-15
2.289728e-05	1.496953e-15
2.343079e-05	1.429559e-15
2.397673e-05	1.365200e-15
2.453538e-05	1.303738e-15
2.510706e-05	1.245043e-15
2.569205e-05	1.188990e-15
2.629067e-05	1.135461e-15
2.690325e-05	1.084342e-15
2.753009e-05	1.035525e-15
2.817154e-05	9.889054e-16
2.882794e-05	9.443839e-16
2.949963e-05	9.018673e-16
3.018697e-05	8.612648e-16
3.089033e-05	8.224904e-16
3.161008e-05	7.854613e-16
3.234659e-05	7.500995e-16
3.310026e-05	7.163298e-16
3.387150e-05	6.840801e-16
3.466070e-05	6.532827e-16
3.546830e-05	6.238715e-16
3.629471e-05	5.957846e-16
3.714038e-05	5.689619e-16
3.800575e-05	5.433470e-16
3.889128e-05	5.188853e-16
3.979745e-05	4.955249e-16
4.072473e-05	4.732161e-16
4.167362e-05	4.519116e-16
4.264461e-05	4.315663e-16
4.363823e-05	4.121371e-16
4.465500e-05	3.935824e-16
4.569546e-05	3.758632e-16
4.676017e-05	3.589416e-16
4.784967e-05	3.427819e-16
4.896457e-05	3.273497e-16
5.010545e-05	3.126122e-16
5.127290e-05	2.985383e-16
5.246756e-05	2.850980e-16
5.369006e-05	2.722627e-16
5.494104e-05	2.600053e-16
5.622116e-05	2.482997e-16
5.753111e-05	2.371212e-16
5.887160e-05	2.264458e-16
6.024330e-05	2.162511e-16
6.164697e-05	2.065154e-16
6.308335e-05	1.972179e-16
6.455319e-05	1.883391e-16
6.605728e-05	1.798600e-16
6.759641e-05	1.717626e-16
6.917140e-05	1.640298e-16
7.078310e-05	1.566451e-16
7.243235e-05	1.495928e-16
7.412002e-05	1.428581e-16
7.584702e-05	1.364265e-16
7.761425e-05	1.302846e-16
7.942267e-05	1.244191e-16
8.127321e-05	1.188177e-16
8.316687e-05	1.134684e-16
8.510467e-05	1.083600e-16
8.708760e-05	1.034816e-16
8.911674e-05	9.882283e-17
9.119316e-05	9.437377e-17
9.331797e-05	9.012501e-17
9.549227e-05	8.606755e-17
9.771724e-05	8.219274e-17
9.999403e-05	7.849242e-17
1.023239e-04	7.495867e-17
1.047080e-04	7.158399e-17
1.071478e-04	6.836114e-17
1.096443e-04	6.528358e-17
1.121990e-04	6.234442e-17
1.148133e-04	5.953766e-17
1.174884e-04	5.685729e-17
1.202259e-04	5.429752e-17
1.230271e-04	5.185302e-17
1.258937e-04	4.951858e-17
1.288270e-04	4.728922e-17
1.318286e-04	4.516025e-17
1.349002e-04	4.312712e-17
1.380434e-04	4.118551e-17
1.412599e-04	3.933130e-17
1.445512e-04	3.756057e-17
1.479192e-04	3.586960e-17
1.513658e-04	3.425473e-17
1.548927e-04	3.271254e-17
1.585016e-04	3.123982e-17
1.621947e-04	2.983338e-17
1.659738e-04	2.849028e-17
1.698410e-04	2.720764e-17
1.737983e-04	2.598272e-17
1.778478e-04	2.481298e-17
1.819917e-04	2.369587e-17
1.862321e-04	2.262908e-17
1.905712e-04	2.161032e-17
1.950116e-04	2.063741e-17
1.995554e-04	1.970829e-17
2.042050e-04	1.882102e-17
2.089630e-04	1.797369e-17
2.138318e-04	1.716450e-17
2.188141e-04	1.639175e-17
2.239125e-04	1.565379e-17
2.291296e-04	1.494904e-17
2.344684e-04	1.427602e-17
2.399315e-04	1.363331e-17
2.455219e-04	1.301954e-17
2.512425e-04	1.243339e-17
2.570965e-04	1.187363e-17
2.630868e-04	1.133908e-17
2.692168e-04	1.082858e-17
2.754895e-04	1.034108e-17
2.819084e-04	9.875514e-18
2.884769e-04	9.430916e-18
2.951984e-04	9.006333e-18
3.020765e-04	8.600860e-18
3.091149e-04	8.213644e-18
3.163173e-04	7.843864e-18
3.236875e-04	7.490728e-18
3.312294e-04	7.153494e-18
3.389470e-04	6.831440e-18
3.468444e-04	6.523886e-18
3.549260e-04	6.230176e-18
3.631957e-04	5.949690e-18
3.716582e-04	5.681832e-18
3.803178e-04	5.426034e-18
3.891793e-04	5.181751e-18
3.982471e-04	4.948466e-18
4.075263e-04	4.725683e-18
4.170217e-04	4.512930e-18
4.267382e-04	4.309757e-18
4.366812e-04	4.115729e-18
4.468559e-04	3.930436e-18
4.572677e-04	3.753486e-18
4.679220e-04	3.584503e-18
4.788246e-04	3.423126e-18
4.899812e-04	3.269016e-18
5.013978e-04	3.121843e-18
5.130803e-04	2.981296e-18
5.250351e-04	2.847077e-18
5.372684e-04	2.718900e-18
5.497867e-04	2.596494e-18
5.625968e-04	2.479599e-18
5.757053e-04	2.367966e-18
5.891192e-04	2.261359e-18
6.028457e-04	2.159551e-18
6.168920e-04	2.062327e-18
6.312656e-04	1.969480e-18
6.459741e-04	1.880813e-18
6.610253e-04	1.796138e-18
6.764272e-04	1.715275e-18
6.921879e-04	1.638052e-18
7.083159e-04	1.564306e-18
7.248196e-04	1.493881e-18
7.417080e-04	1.426625e-18
7.589898e-04	1.362398e-18
7.766742e-04	1.301062e-18
7.947707e-04	1.242488e-18
8.132889e-04	1.186550e-18
8.322385e-04	1.133131e-18
8.516297e-04	1.082117e-18
8.714726e-04	1.033400e-18
8.917780e-04	9.868754e-19
9.125564e-04	9.424457e-19
9.338190e-04	9.000164e-19
9.555773e-04	8.596516e-19
9.778423e-04	8.203796e-19
1.000626e-03	7.842100e-19
1.023940e-03	7.487290e-19
1.047798e-03	7.150519e-19
1.072212e-03	6.826616e-19
1.097194e-03	6.519610e-19
1.122759e-03	6.228491e-19
1.148919e-03	5.944378e-19
1.175689e-03	5.677198e-19
1.203082e-03	5.424234e-19
1.231114e-03	5.178527e-19
1.259799e-03	4.945224e-19
1.289153e-03	4.722685e-19
1.319190e-03	4.509176e-19
1.349927e-03	4.307189e-19
1.381380e-03	4.112541e-19
1.413566e-03	3.927505e-19
1.446503e-03	3.750364e-19
1.480206e-03	3.582161e-19
1.514695e-03	3.420310e-19
1.549987e-03	3.266847e-19
